Month,Max Temp (°F),Min Temp (°F),Mean Temp (°F),Precipitation (in),Heating Degree Days,Cooling Degree Days
"19860301March, 1986",39.9,29.1,50.7,2.11,780,1
"19860201February, 1986",19.8,12.1,27.5,1.24,"1,267",
"19860101January, 1986",23.2,13.8,32.6,0.22,"1,314",
"19851201December, 1985",11.4,0.9,21.8,1.27,"1,664",
"19851101November, 1985",28.5,20.8,36.3,2.24,"1,070",
"19851001October, 1985",50.6,40.4,60.9,3.16,445,4
"19850901September, 1985",62.7,53.2,72.3,5.31,115,62
"19850801August, 1985",67.9,56.9,78.9,3.88,50,144
"19850701July, 1985",72.7,60.5,84.9,2.81,12,252
"19850601June, 1985",66.5,54.4,78.6,2.96,67,113
"19850501May, 1985",63.2,50.9,75.5,2.8,148,91
"19850401April, 1985",53.6,41.8,65.3,2.34,348,9
"19850301March, 1985",40.1,29.8,50.4,2.62,773,1
"19850201February, 1985",19.6,10.6,28.6,1.12,"1,273",
"19850101January, 1985",14,3.8,24.2,0.64,"1,586",
"19841201December, 1984",25.7,15.8,35.6,2.1,"1,203",
"19841101November, 1984",37.4,27,47.7,2.04,825,
"19841001October, 1984",52.2,42,62.5,5.25,395,8
"19840901September, 1984",61.1,48.5,73.6,2.07,151,38
"19840801August, 1984",73.4,60.8,86,0.99,12,268
"19840701July, 1984",72.2,60.4,83.9,4.02,15,230
"19840601June, 1984",70.5,59.8,81.3,6.65,25,194
"19840501May, 1984",56.9,45.8,68,4.76,279,27
"19840401April, 1984",46.4,37.3,55.6,5.76,548,
"19840301March, 1984",28.3,20.6,36,1.85,"1,130",
"19840201February, 1984",31.5,22.8,40.3,0.92,931,
"19840101January, 1984",17.6,8.9,26.2,0.51,"1,470",
"19831201December, 1983",7.6,-0.1,15.3,1.11,"1,753",
"19831101November, 1983",37.6,30.5,44.8,4.68,806,
"19831001October, 1983",51,40.8,61.2,3.37,435,5
"19830901September, 1983",64.2,51.6,76.9,4.1,102,74
"19830801August, 1983",78.1,65.7,90.4,2.43,1,403
"19830701July, 1983",77.2,65.6,88.8,2.64,1,378
"19830601June, 1983",69.6,58.7,80.5,5.41,31,178
"19830501May, 1983",55.9,44.7,67,4.69,304,22
"19830401April, 1983",42.6,33.7,51.5,2.91,664,
"19830301March, 1983",35.9,28.4,43.5,3.24,890,
"19830201February, 1983",28.8,21.6,36,1.24,"1,007",
"19830101January, 1983",23.3,16.2,30.4,0.7,"1,279",
"19821201December, 1982",28.7,20.7,36.7,3.4,"1,105",
"19821101November, 1982",35,26.1,43.8,2.93,888,
"19821001October, 1982",52,40.7,63.3,3.33,403,6
"19820901September, 1982",61.8,51.8,71.9,3.41,139,45
"19820801August, 1982",70,59.8,80.1,4.5,31,182
"19820701July, 1982",74.1,63.3,84.8,6.21,8,284
"19820601June, 1982",64.5,53.3,75.7,3.3,97,81
"19820501May, 1982",62.4,52.8,72.1,7.03,156,85
"19820401April, 1982",44.3,32.7,55.9,2.46,628,
"19820301March, 1982",32.8,23.7,42,2.69,"1,000",
"19820201February, 1982",20.1,10.8,29.4,0.4,"1,259",
"19820101January, 1982",7.3,-2.8,17.5,1.78,"1,783",
"19811201December, 1981",21.6,13.4,29.7,1.1,"1,332",
"19811101November, 1981",39.7,30.4,49,2.05,758,
"19811001October, 1981",48.9,38.1,59.7,2.54,498,1
"19810901September, 1981",62.7,50.2,75.2,2.59,127,54
"19810801August, 1981",69.6,59.1,80.1,5.15,33,178
"19810701July, 1981",73.3,63.5,83,4.92,10,262
"19810601June, 1981",70.2,58.5,82,5.43,30,183
"19810501May, 1981",57.8,45.9,69.8,2.54,256,33
"19810401April, 1981",54.4,42,66.8,3.41,336,10
"19810301March, 1981",39.5,26.9,52.1,0.75,792,
"19810201February, 1981",27.1,16,38.2,1.41,"1,061",
"19810101January, 1981",22.8,11.4,34.2,0.1,"1,311",
"19801201December, 1980",24.2,15.4,32.9,1.09,"1,260",
"19801101November, 1980",38.6,27.3,49.8,0.43,796,
"19801001October, 1980",47.8,35.8,59.9,1.96,532,
"19800901September, 1980",64.3,51.9,76.7,3.13,97,76
"19800801August, 1980",73.3,62.4,84.3,7.82,12,275
"19800701July, 1980",76.7,64.6,88.8,2.56,2,364
"19800601June, 1980",69.6,57.7,81.5,4.77,35,164
"19800501May, 1980",61.2,48.1,74.4,2.83,181,66
"19800401April, 1980",49.3,36.8,61.7,1.44,474,
"19800301March, 1980",31.8,22.2,41.3,1.02,"1,029",
"19800201February, 1980",18.9,10.3,27.4,0.74,"1,292",
"19800101January, 1980",20.4,12.5,28.3,1.3,"1,377",
"19791201December, 1979",29,19,39,0.54,"1,112",
"19791101November, 1979",34.8,26.2,43.5,1.85,892,
"19791001October, 1979",51.1,38.9,63.2,3.68,430,5
"19790901September, 1979",64.2,50.8,77.6,1.46,100,73
"19790801August, 1979",70.9,60.7,81.1,6.1,24,209
"19790701July, 1979",72.2,61.4,82.9,4.73,14,234
"19790601June, 1979",69,57.2,80.9,4.11,38,159
"19790501May, 1979",58.7,46.1,71.4,2.91,231,43
"19790401April, 1979",44.6,34.7,54.4,3.05,612,
"19790301March, 1979",31.8,23.2,40.4,3.74,"1,018",
"19790201February, 1979",10.7,0.6,20.8,0.52,"1,512",
"19790101January, 1979",4.6,-3.9,13.2,1.66,"1,861",
"19781201December, 1978",19.3,10.9,27.6,1.02,"1,404",
"19781101November, 1978",35,25.8,44.3,2.41,882,
"19781001October, 1978",49.8,37.7,62,1.31,473,1
"19780901September, 1978",67.5,55.1,79.9,5.51,52,127
"19780801August, 1978",71.2,59.3,83,3.29,22,213
"19780701July, 1978",72.7,62.4,83.1,5.87,12,249
"19780601June, 1978",69.8,57.8,81.7,4.25,32,174
"19780501May, 1978",59.6,48.6,70.5,3.76,215,47
"19780401April, 1978",48.2,38.1,58.3,4.64,498,
"19780301March, 1978",30.9,20.9,40.9,0.71,"1,060",
"19780201February, 1978",11.8,1.6,21.9,0.78,"1,488",
"19780101January, 1978",8,-1.4,17.4,0.59,"1,755",
"19771201December, 1977",19.7,11.9,27.5,1.06,"1,402",
"19771101November, 1977",35.2,26.3,44.1,1.65,887,
"19771001October, 1977",49.4,38.7,60.1,4.12,482,1
"19770901September, 1977",63.7,53.3,74.2,4.69,105,70
"19770801August, 1977",68.4,57.7,79.2,8.2,47,151
"19770701July, 1977",76.6,64.4,88.7,3.99,2,361
"19770601June, 1977",70.9,58.3,83.5,2.67,25,196
"19770501May, 1977",67.1,55.1,79,2.77,87,152
"19770401April, 1977",55,42.6,67.5,2.53,310,12
"19770301March, 1977",41.6,31.6,51.7,3.9,721,4
"19770201February, 1977",26.5,14.5,38.5,0.51,"1,086",
"19770101January, 1977",6.2,-4.4,17,0.5,"1,825",
"19761201December, 1976",17.6,5.6,29.6,0.31,"1,481",
"19761101November, 1976",29.5,17.6,41.4,0.1,"1,064",
"19761001October, 1976",45.4,33.2,57.7,1.53,604,
"19760901September, 1976",62.4,48.5,76.3,1.47,136,48
"19760801August, 1976",71,58,83.9,1.48,27,198
"19760701July, 1976",74.5,62.3,86.7,2.55,7,296
"19760601June, 1976",69.3,56.6,82,3.25,35,162
"19760501May, 1976",57.6,45.1,70,3.2,262,31
"19760401April, 1976",52.2,40,64.4,4.59,396,4
"19760301March, 1976",37,27.1,47,3.41,854,
"19760201February, 1976",32.5,21.3,43.6,1.48,913,
"19760101January, 1976",19.3,8.4,30.2,0.23,"1,420",
"19751201December, 1975",26.1,18.4,33.9,0.76,"1,191",
"19751101November, 1975",40.2,30.4,50.1,3.47,722,
"19751001October, 1975",53.9,39.3,68.4,0.31,358,11
"19750901September, 1975",58.7,47.5,69.9,2.14,209,20
"19750801August, 1975",73.4,62,84.8,5.12,13,268
"19750701July, 1975",74.3,62.2,86.4,0.96,8,289
"19750601June, 1975",69.2,58.8,79.6,5.38,34,168
"19750501May, 1975",62.8,50.7,74.9,3.3,153,87
"19750401April, 1975",43.5,34,52.9,3.82,646,
"19750301March, 1975",26.9,17.6,36.1,2.14,"1,183",
"19750201February, 1975",20.1,12.2,28,1.14,"1,241",
"19750101January, 1975",19.6,10.5,28.7,1.53,"1,391",
"19741201December, 1974",25.4,17.8,32.9,1.12,"1,219",
"19741101November, 1974",36.8,28.2,45.4,1.41,837,
"19741001October, 1974",51.9,39.6,64.2,2.9,415,6
"19740901September, 1974",58.3,45.3,71.2,1.59,218,17
"19740801August, 1974",68,57.2,78.9,4.77,49,145
"19740701July, 1974",77,64.5,89.6,2.29,1,366
"19740601June, 1974",66.6,54.8,78.4,4.7,69,111
"19740501May, 1974",57.9,47.7,68.2,6.27,262,34
"19740401April, 1974",50.6,38.8,62.5,3.34,429,1
"19740301March, 1974",36.9,26.7,47.1,1.71,875,
"19740201February, 1974",24.9,15.6,34.2,0.67,"1,129",
"19740101January, 1974",16.9,8.4,25.4,1.21,"1,480",
"19731201December, 1973",20.1,12.4,27.8,2.03,"1,380",
"19731101November, 1973",37.6,29,46.2,2.25,816,
"19731001October, 1973",56.2,44.7,67.6,2.57,289,20
"19730901September, 1973",62.2,52.9,71.4,6.92,130,51
"19730801August, 1973",72.9,61.9,83.8,2.74,14,257
"19730701July, 1973",73.2,62.9,83.4,5.22,10,265
"19730601June, 1973",70.8,59.2,82.5,3.49,24,198
"19730501May, 1973",57.2,46,68.4,6.04,276,28
"19730401April, 1973",46.7,36.4,56.9,4.63,550,
"19730301March, 1973",42.1,34.1,50.2,3.97,702,6
"19730201February, 1973",25.5,17.5,33.5,1.33,"1,097",
"19730101January, 1973",20.4,12.2,28.6,1.73,"1,369",
"19721201December, 1972",17,8.9,25.2,1.73,"1,472",
"19721101November, 1972",33.5,27.3,39.7,2.28,943,
"19721001October, 1972",47.4,36.7,58.1,3.1,542,
"19720901September, 1972",62.9,51.9,74,5.61,115,64
"19720801August, 1972",71.1,60.8,81.4,4.32,22,213
"19720701July, 1972",71.5,61,81.9,5.67,18,218
"19720601June, 1972",68.2,55.9,80.6,3.7,50,138
"19720501May, 1972",61,49.7,72.3,4.57,183,64
"19720401April, 1972",46.3,35,57.5,3.58,564,
"19720301March, 1972",34.4,24.1,44.8,1.31,953,
"19720201February, 1972",17.9,7.1,28.7,0.71,"1,322",
"19720101January, 1972",14.7,4.8,24.6,0.47,"1,549",
"19711201December, 1971",25.6,18.5,32.7,1.87,"1,200",
"19711101November, 1971",37.1,28.2,46,3.08,830,
"19711001October, 1971",56.5,45.2,67.9,3.61,271,24
"19710901September, 1971",64.9,52.2,77.5,2.42,84,90
"19710801August, 1971",70,57,83,1.24,32,181
"19710701July, 1971",69.9,58.5,81.3,3.43,28,179
"19710601June, 1971",74.2,62.5,85.9,4.5,9,288
"19710501May, 1971",56.8,44.3,69.2,3.57,285,26
"19710401April, 1971",49.6,36.2,63,1.37,465,
"19710301March, 1971",31.8,22.8,40.7,0.91,"1,031",
"19710201February, 1971",20.4,12.1,28.8,2.42,"1,246",
"19710101January, 1971",12.4,2.9,22,1.09,"1,626",
"19701201December, 1970",23.3,13.9,32.8,1.12,"1,277",
"19701101November, 1970",35.2,27,43.4,1.69,884,
"19701001October, 1970",50.5,40.3,60.7,4.06,440,4
"19700901September, 1970",62.9,52,73.8,6.1,121,57
"19700801August, 1970",71.5,60.2,82.8,3.98,22,217
"19700701July, 1970",73.7,61.5,86,3.54,9,276
"19700601June, 1970",70,58.6,81.3,3.13,31,174
"19700501May, 1970",63.1,51.3,74.9,4.95,150,90
"19700401April, 1970",49.3,37.1,61.4,2.31,467,
"19700301March, 1970",30.6,21.6,39.6,2.2,"1,053",
"19700201February, 1970",23.5,11.6,35.5,0.17,"1,163",
"19700101January, 1970",9.5,0.1,19,0.27,"1,715",
"19691201December, 1969",21.5,13.7,29.3,1.46,"1,343",
"19691101November, 1969",36.2,25.4,47,0.27,863,
"19691001October, 1969",47.8,37.3,58.2,3.61,527,
"19690901September, 1969",62.9,51.3,74.5,2.34,121,57
"19690801August, 1969",71.8,60,83.6,2.62,18,229
"19690701July, 1969",73.9,64,83.8,6.26,9,280
"19690601June, 1969",64.3,52.8,75.7,7.19,101,79
"19690501May, 1969",60.6,49.1,72.2,3.82,196,57
"19690401April, 1969",49.8,38.2,61.4,3.37,453,
"19690301March, 1969",26.6,16.5,36.8,1.09,"1,169",
"19690201February, 1969",23.4,15.9,30.9,0.98,"1,154",
"19690101January, 1969",13.8,5.7,21.8,1.77,"1,574",
"19681201December, 1968",20.7,12.5,29,2.07,"1,354",
"19681101November, 1968",34.6,26.2,42.9,1.19,905,
"19681001October, 1968",52.4,40.9,63.9,3.48,397,8
"19680901September, 1968",61.8,50.3,73.2,4.66,140,44
"19680801August, 1968",71.5,60.4,82.5,3.55,21,220
"19680701July, 1968",72.4,61.2,83.6,4.33,13,242
"19680601June, 1968",70.6,58.7,82.5,4.72,26,192
"19680501May, 1968",56,43.8,68.1,2.69,299,23
"19680401April, 1968",50.2,37.4,63,4.39,442,
"19680301March, 1968",41.6,27.8,55.4,0.92,728,4
"19680201February, 1968",21.2,10.7,31.6,0.18,"1,225",
"19680101January, 1968",18.5,9.3,27.7,0.62,"1,432",
"19671201December, 1967",25.9,17.6,34.3,0.91,"1,200",
"19671101November, 1967",34,24.5,43.6,0.67,929,
"19671001October, 1967",49.4,38.1,60.7,3.15,482,1
"19670901September, 1967",60.1,47.3,73,2.61,175,28
"19670801August, 1967",67.6,55.2,80,2.65,59,130
"19670701July, 1967",70.4,58.4,82.5,2.15,24,188
"19670601June, 1967",68.2,58,78.4,8.59,44,148
"19670501May, 1967",55.6,43.4,67.9,2.74,310,21
"19670401April, 1967",49.6,38.1,61,3.34,463,
"19670301March, 1967",38.1,26.6,49.7,1.6,839,
"19670201February, 1967",19.4,8,30.8,0.55,"1,282",
"19670101January, 1967",21.2,11.1,31.4,1.17,"1,339",
"19661201December, 1966",22.8,14,31.6,1.06,"1,294",
"19661101November, 1966",36.3,25.6,47,0.49,845,
"19661001October, 1966",50.9,37,64.8,1.61,439,3
"19660901September, 1966",60.5,48.1,72.9,1.43,164,32
"19660801August, 1966",68.2,56,80.3,2.51,47,148
"19660701July, 1966",76,64.6,87.4,3.28,2,341
"19660601June, 1966",68.7,57.3,80,5.63,41,150
"19660501May, 1966",56.3,42.9,69.6,3.87,305,23
"19660401April, 1966",44.2,33.6,54.8,1.93,615,
"19660301March, 1966",39.1,27.7,50.6,1.83,802,
"19660201February, 1966",22.5,11.6,33.4,0.72,"1,186",
"19660101January, 1966",11.1,1.7,20.5,0.96,"1,663",
"19651201December, 1965",31.8,23.1,40.5,1.68,"1,023",
"19651101November, 1965",37.6,27,48.2,1.3,810,
"19651001October, 1965",52.7,40.5,64.8,1.06,393,8
"19650901September, 1965",58.8,49,68.5,9.84,195,26
"19650801August, 1965",69.9,58.2,81.6,4.19,31,182
"19650701July, 1965",72.5,61.4,83.5,3.4,14,239
"19650601June, 1965",68.3,57.4,79.3,3.94,47,142
"19650501May, 1965",63.8,51.9,75.7,4.76,138,101
"19650401April, 1965",47.2,36.7,57.6,4.6,537,
"19650301March, 1965",22.8,14.6,31,2.81,"1,295",
"19650201February, 1965",18.7,7.8,29.7,1.29,"1,284",
"19650101January, 1965",16.6,6.6,26.7,1.38,"1,490",
"19641201December, 1964",20.2,11.5,28.9,0.94,"1,377",
"19641101November, 1964",39.4,28.9,50,1.2,752,
"19641001October, 1964",49.6,35.9,63.3,0.28,480,1
"19640901September, 1964",62.1,51.3,72.8,4.56,133,49
"19640801August, 1964",68.4,56.5,80.3,3.85,44,153
"19640701July, 1964",75.8,64.2,87.4,4.04,2,334
"19640601June, 1964",69.3,57.8,80.8,5.04,35,166
"19640501May, 1964",65,53,76.9,4.01,117,120
"19640401April, 1964",49.2,37.9,60.5,5.13,474,
"19640301March, 1964",31,20,42,1.49,"1,041",
"19640201February, 1964",26.9,15.3,38.6,0.31,"1,068",
"19640101January, 1964",25.4,15.2,35.6,0.4,"1,222",
"19631201December, 1963",13.1,3.6,22.6,0.49,"1,609",
"19631101November, 1963",40.8,30,51.5,1.35,721,
"19631001October, 1963",61.5,48.2,74.8,1.08,167,64
"19630901September, 1963",64.1,52.8,75.4,2.47,102,72
"19630801August, 1963",70.1,59.1,81.1,3.8,32,183
"19630701July, 1963",74,62.7,85.2,5.51,9,279
"19630601June, 1963",72.7,60.3,85.1,2.66,15,243
"19630501May, 1963",59.2,47.8,70.6,2.86,225,44
"19630401April, 1963",51.2,39,63.4,3.13,417,2
"19630301March, 1963",38.7,28.3,49.1,2.58,814,
"19630201February, 1963",18.7,7.9,29.4,0.56,"1,311",
"19630101January, 1963",8.2,-0.7,17.1,0.65,"1,761",
"19621201December, 1962",23.1,13.6,32.7,0.38,"1,301",
"19621101November, 1962",38.3,28.5,48,0.56,806,
"19621001October, 1962",53.6,42.8,64.4,2.81,361,11
"19620901September, 1962",59.8,47.7,71.8,2.17,182,27
"19620801August, 1962",70.9,59,82.8,4.18,24,206
"19620701July, 1962",70.9,60.4,81.4,6.2,23,198
"19620601June, 1962",68.3,57.2,79.3,3.08,45,146
"19620501May, 1962",65.8,54.6,77,5.55,106,132
"19620401April, 1962",46.6,34.3,58.9,1.8,549,
"19620301March, 1962",27.8,19.1,36.5,1.64,"1,142",
"19620201February, 1962",20.2,12.5,27.8,2.04,"1,254",
"19620101January, 1962",12.4,2.8,22.1,0.64,"1,626",
"19611201December, 1961",18.2,9.8,26.6,1.49,"1,434",
"19611101November, 1961",35.5,26.7,44.3,2.96,872,
"19611001October, 1961",52.9,40.5,65.3,3.01,380,9
"19610901September, 1961",61,50.2,71.8,7.26,150,41
"19610801August, 1961",71.4,59.7,83.1,3.04,20,219
"19610701July, 1961",71.9,60.6,83.3,5.54,16,228
"19610601June, 1961",68.6,56.3,80.8,3.38,41,151
"19610501May, 1961",56.6,44.5,68.7,2.4,286,26
"19610401April, 1961",42.8,32.1,53.5,1.99,666,
"19610301March, 1961",35.5,27.6,43.4,4.22,907,
"19610201February, 1961",27.4,17.5,37.4,1.7,"1,040",
"19610101January, 1961",18.4,7.6,29.4,0.27,"1,435",
"19601201December, 1960",22.3,12.6,32.1,0.62,"1,322",
"19601101November, 1960",38.2,26.9,49.5,0.95,799,
"19601001October, 1960",51.5,38.8,64.2,2.18,427,5
"19600901September, 1960",64.4,53.1,75.7,3.53,93,81
"19600801August, 1960",72.3,61.3,83.3,5.37,16,242
"19600701July, 1960",71.9,60,83.8,2.81,16,226
"19600601June, 1960",66.7,55.8,77.5,4.29,66,115
"19600501May, 1960",58.9,47.4,70.4,5.89,232,41
"19600401April, 1960",49.8,38.6,61,3.27,448,
"19600301March, 1960",19.6,9.9,29.4,1.54,"1,400",
"19600201February, 1960",18.7,10.5,26.8,1.17,"1,289",
"19600101January, 1960",18.9,11.2,26.6,2.19,"1,413",
"19591201December, 1959",31.2,24.1,38.3,1.77,"1,043",
"19591101November, 1959",27.6,17.6,37.5,1.86,"1,120",
"19591001October, 1959",47,37,57,2.94,552,
"19590901September, 1959",62.7,51.8,73.6,4.35,119,58
"19590801August, 1959",75.4,65,85.8,4.91,6,329
"19590701July, 1959",71.6,59.7,83.5,2.39,17,219
"19590601June, 1959",70.8,59,82.5,4.05,25,195
"19590501May, 1959",62,51.4,72.5,7.58,164,78
"19590401April, 1959",48.1,35.9,60.2,2.83,507,
"19590301March, 1959",33.9,24.4,43.5,3.23,966,
"19590201February, 1959",19.2,9,29.5,1.32,"1,270",
"19590101January, 1959",13.2,3.2,23.3,0.77,"1,604",
"19581201December, 1958",19.3,8.9,29.7,0.25,"1,420",
"19581101November, 1958",38.6,26.8,50.3,1.62,785,
"19581001October, 1958",53.8,40.2,67.3,0.92,356,11
"19580901September, 1958",63.6,51.6,75.6,3.07,112,64
"19580801August, 1958",71.9,60,83.8,2.47,19,226
"19580701July, 1958",69.6,59.4,79.8,7.17,30,171
"19580601June, 1958",65.4,54,76.7,3.86,86,93
"19580501May, 1958",61.5,47.8,75.2,2,180,67
"19580401April, 1958",48.3,36.3,60.4,2.23,494,
"19580301March, 1958",32.7,24.3,41.2,0.56,992,
"19580201February, 1958",15.6,5.2,26,0.48,"1,386",
"19580101January, 1958",22,14.5,29.4,0.7,"1,338",
"19571201December, 1957",29.3,20.3,38.3,1.18,"1,106",
"19571101November, 1957",33.8,26.1,41.6,2.5,931,
"19571001October, 1957",48.2,37.7,58.7,2.75,515,
"19570901September, 1957",59.9,48.3,71.5,2.7,175,28
"19570801August, 1957",71.9,60.6,83.3,3.75,18,233
"19570701July, 1957",77.1,65.9,88.4,3.63,1,369
"19570601June, 1957",68.1,56.9,79.3,4.77,46,144
"19570501May, 1957",58.2,47.2,69.1,4.94,247,37
"19570401April, 1957",48.3,37.1,59.4,2.52,492,
"19570301March, 1957",34.3,23.8,44.8,1.88,945,
"19570201February, 1957",28.3,19,37.6,0.34,"1,019",
"19570101January, 1957",13.1,3.3,23,0.56,"1,601",
"19561201December, 1956",26.4,17.2,35.5,0.52,"1,197",
"19561101November, 1956",35.2,25.4,44.9,2.03,888,
"19561001October, 1956",57.7,43.8,71.7,1.4,252,28
"19560901September, 1956",62.2,47.6,76.8,1.54,138,48
"19560801August, 1956",72,60.5,83.5,4.49,18,232
"19560701July, 1956",71.9,60,83.9,4.52,16,233
"19560601June, 1956",73.8,60.8,86.8,2.6,11,270
"19560501May, 1956",61.5,48.9,74,3.28,181,68
"19560401April, 1956",45.4,31.8,58.9,1.98,583,
"19560301March, 1956",32.6,21.6,43.6,0.93,"1,000",
"19560201February, 1956",21.4,10.9,32,0.54,"1,204",
"19560101January, 1956",17.2,7.7,26.6,0.45,"1,465",
"19551201December, 1955",18.5,8.9,28,0.49,"1,426",
"19551101November, 1955",29.1,18.3,40,0.24,"1,060",
"19551001October, 1955",51.9,39,64.8,1.48,413,6
"19550901September, 1955",65.4,51.3,79.5,3.05,83,91
"19550801August, 1955",76.1,62.4,89.7,1.88,4,343
"19550701July, 1955",78.9,67.4,90.4,3.46,,431
"19550601June, 1955",66.3,54.7,77.9,2.99,70,109
"19550501May, 1955",62.7,49.7,75.7,2.71,158,82
"19550401April, 1955",55.2,42.2,68.1,3.5,310,13
"19550301March, 1955",32.5,21.1,43.9,0.97,995,
"19550201February, 1955",19.3,9.3,29.3,1.3,"1,259",
"19550101January, 1955",19.1,10.6,27.7,0.9,"1,420",
"19541201December, 1954",26.2,18.4,33.9,0.72,"1,202",
"19541101November, 1954",39.7,28.9,50.5,0.24,764,
"19541001October, 1954",50.3,40.3,60.3,4.16,452,4
"19540901September, 1954",65.2,53.1,77.2,2.19,83,91
"19540801August, 1954",71,60.5,81.5,7.08,25,206
"19540701July, 1954",76.6,64.4,88.8,1.8,2,357
"19540601June, 1954",72,61.2,82.9,6.4,17,233
"19540501May, 1954",54.8,42.6,66.9,3.8,333,18
"19540401April, 1954",51.5,38.9,64.1,4.37,407,2
"19540301March, 1954",31.1,21.4,40.8,1.75,"1,044",
"19540201February, 1954",35.6,24.8,46.3,1.43,829,
"19540101January, 1954",17.1,5.7,28.5,0.24,"1,465",
"19531201December, 1953",26.7,17,36.4,1.34,"1,182",
"19531101November, 1953",39.6,27.8,51.3,1.33,761,
"19531001October, 1953",56.7,42.1,71.3,0.48,277,22
"19530901September, 1953",63.7,48.3,79,0.92,108,68
"19530801August, 1953",72.2,59.3,85,2.31,17,239
"19530701July, 1953",73.8,62.1,85.6,3.32,9,282
"19530601June, 1953",72.3,60.6,84.1,5.24,17,231
"19530501May, 1953",59.1,47.6,70.6,2.37,225,44
"19530401April, 1953",42.8,32.4,53.2,3.16,662,
"19530301March, 1953",35.5,25.8,45.2,2.92,912,
"19530201February, 1953",26.3,17.2,35.3,1.66,"1,077",
"19530101January, 1953",20.6,12.2,29,0.74,"1,359",
"19521201December, 1952",24.4,17.5,31.4,1.18,"1,240",
"19521101November, 1952",36.7,25.1,48.2,2.73,840,
"19521001October, 1952",46.1,30.3,61.8,0.02,590,
"19520901September, 1952",63.8,49.5,78,0.85,108,68
"19520801August, 1952",69,57.9,80,4.69,39,164
"19520701July, 1952",73.9,62.1,85.6,3.78,7,290
"19520601June, 1952",73.3,61.5,85.1,5.39,13,261
"19520501May, 1952",58.6,47.3,70,3.82,237,40
"19520401April, 1952",48.8,36.4,61.1,1.87,481,
"19520301March, 1952",30.5,22.2,38.8,3.22,"1,058",
"19520201February, 1952",29.8,22.1,37.6,0.65,983,
"19520101January, 1952",18.6,8.5,28.8,1.31,"1,423",
"19511201December, 1951",18.6,9.6,27.5,0.97,"1,423",
"19511101November, 1951",29.2,19.1,39.3,1.29,"1,072",
"19511001October, 1951",50.6,40,61.2,3.27,440,4
"19510901September, 1951",58.7,47.6,69.8,2.47,204,21
"19510801August, 1951",69.4,58.8,80.1,6.17,37,173
"19510701July, 1951",71.3,60.6,82.1,4.53,18,216
"19510601June, 1951",64.4,54.5,74.4,6.19,94,84
"19510501May, 1951",61.4,49.8,73,4.98,175,69
"19510401April, 1951",43.3,34,52.6,4.89,640,
"19510301March, 1951",26.1,17.1,35.2,4.18,"1,190",
"19510201February, 1951",22.8,13.2,32.5,2.42,"1,187",
"19510101January, 1951",16,6.3,25.7,0.61,"1,516",
"19501201December, 1950",16.9,7.5,26.4,0.75,"1,498",
"19501101November, 1950",31.3,20.1,42.5,0.57,"1,010",
"19501001October, 1950",56.3,42.7,70,1.26,282,22
"19500901September, 1950",62,49.5,74.4,2.09,135,48
"19500801August, 1950",66.8,55.5,78,2.4,64,122
"19500701July, 1950",69,57.3,80.7,4.47,34,162
"19500601June, 1950",67.7,56,79.4,5.76,53,131
"19500501May, 1950",59,47.2,70.7,4.89,224,46
"19500401April, 1950",41.5,30.4,52.6,2.77,702,
"19500301March, 1950",29.6,20,39.2,1.03,"1,093",
"19500201February, 1950",21.1,11,31.2,1.53,"1,231",
"19500101January, 1950",16.7,5.1,28.2,1.5,"1,458",
"19491201December, 1949",25.4,15.1,35.7,1.09,"1,213",
"19491101November, 1949",40,28.4,51.7,0.5,754,
"19491001October, 1949",54.2,41.8,66.6,1.92,342,13
"19490901September, 1949",58.2,44.9,71.4,3.2,225,16
"19490801August, 1949",72.1,59.9,84.3,2.29,17,237
"19490701July, 1949",75.6,64.2,86.9,3.56,2,333
"19490601June, 1949",71.8,60.4,83.1,5.55,18,223
"19490501May, 1949",62.7,50.9,74.5,2.67,158,83
"19490401April, 1949",48.2,34.7,61.8,1.31,503,
"19490301March, 1949",33.3,24.4,42.1,2.48,976,
"19490201February, 1949",18.2,7.6,28.9,0.89,"1,295",
"19490101January, 1949",16.3,7.3,25.2,2.7,"1,488",
"19481201December, 1948",23.6,14.7,32.6,1.68,"1,268",
"19481101November, 1948",37.2,29.1,45.3,2.72,819,
"19481001October, 1948",50.2,36.5,63.9,1.92,465,1
"19480901September, 1948",66.9,53.6,80.1,2.03,61,114
"19480801August, 1948",73.1,61.2,85,2.62,13,262
"19480701July, 1948",74.3,62.3,86.4,4.29,7,294
"19480601June, 1948",67.8,56.2,79.4,3.53,51,135
"19480501May, 1948",58.4,46.5,70.3,2.31,249,36
"19480401April, 1948",53.3,40.7,66,2.66,355,8
"19480301March, 1948",31.1,20.3,41.9,2.51,"1,037",
"19480201February, 1948",21.6,11.4,31.7,1.87,"1,210",
"19480101January, 1948",15.6,6,25.3,0.38,"1,528",
"19471201December, 1947",24.7,16.1,33.4,1.45,"1,230",
"19471101November, 1947",30.6,23.2,38,1.88,"1,026",
"19471001October, 1947",59.9,48.4,71.5,3.74,197,46
"19470901September, 1947",66.4,53.7,79,2.1,66,109
"19470801August, 1947",79.4,66.5,92.4,1.5,,448
"19470701July, 1947",72,59.8,84.3,1.65,15,228
"19470601June, 1947",65.4,55.4,75.3,9.9,82,96
"19470501May, 1947",54.7,42.8,66.6,4.23,339,17
